trajectory_id,node_id,latitude,longitude,altitude,time,X_UTM,Y_UTM
0,0,39.984702,116.318417,492,02:53:04,441782.79591610597,4428131.247163864
0,1,39.984359,116.301888,218,03:01:25,440370.6660333868,4428104.084778673
0,2,39.984925,116.301221,164,04:12:42,440314.1861918241,4428167.378421048
0,3,39.99069,116.31009,230,04:21:02,441076.6868906509,4428801.611493351
0,4,39.995235,116.322606,145,04:29:17,442149.48768531706,4429298.080747402
0,5,40.008337,116.321425,196,09:44:55,442059.70373739273,4430753.667184851
0,6,40.009399,116.322179,168,09:56:01,442124.98167053825,4430871.099681645
0,7,40.007548,116.318852,144,10:11:01,441839.336054906,4430667.734187574
0,8,40.006724,116.318625,7544,10:27:25,441819.25367448013,4430576.386989185
0,9,40.009013,116.321431,92,11:10:37,442060.787605894,4430828.725031448
1,0,40.01229,116.297072,492,00:38:26,439983.76107177057,4431208.71893577
1,1,40.01161,116.296885,135,00:55:06,439967.199030121,4431133.338890161
1,2,40.011451,116.297143,102,01:02:26,439989.0883191929,4431115.510027981
1,3,40.010042,116.296744,98,01:12:51,439953.78614376864,4430959.325945961
1,4,40.007865,116.295836,79,01:25:11,439874.347473209,4430718.2080157325
1,5,40.005955,116.29592,39,01:32:51,439879.8444011438,4430506.068460888
1,6,40.007381,116.296749,75,01:40:26,439951.8813609151,4430663.849952947
1,7,40.00998,116.296983,74,01:48:39,439974.1385859815,4430952.280559954
1,8,40.00635,116.296571,68,02:03:06,439935.77882766083,4430549.489567352
1,9,40.010339,116.297375,75,02:10:59,440007.92340976803,4430991.879303299
1,10,40.011344,116.29665,54,02:18:51,439946.9011427846,4431103.961062629
1,11,40.0093,116.300942,224,02:27:11,440311.5814338647,4430874.115335834
1,12,40.005183,116.303144,114,02:35:21,440496.0241871346,4430415.498757257
1,13,40.003839,116.309743,36,02:43:41,441058.35651080054,4430261.878507259
1,14,40.004694,116.320506,67,02:51:56,441978.14985857863,4430349.753473313
2,0,39.996948,116.325747,492,23:21:53,442419.17494344205,4429486.254826855
2,1,40.004339,116.314257,244,23:30:13,441444.2413043486,4430314.421983521
2,2,40.003725,116.309266,141,23:46:43,441017.5266163737,4430249.535739665
2,3,40.005141,116.303332,303,23:55:03,440512.0410403895,4430410.709651892
2,4,40.009557,116.300853,291,00:03:23,440304.2060705987,4430902.711765686
